subject,stim_name,ensemble,genre,target,mean_pearson
0001,classique_morceau1_duo_CoFl_theme1_stereo_Co,duo,classique,Co,0.01814904094086383
0001,classique_morceau1_duo_CoFl_theme1_stereo_Fl,duo,classique,Fl,-0.01993177312403838
0001,classique_morceau1_duo_CoOb_theme1_stereo_Co,duo,classique,Co,0.02595545089159647
0001,classique_morceau1_duo_CoOb_theme2_stereo_Ob,duo,classique,Ob,0.008799025302246263
0001,classique_morceau1_duo_FlOb_theme1_stereo_Fl,duo,classique,Fl,-0.01005682913917798
0001,classique_morceau1_duo_FlOb_theme2_stereo_Ob,duo,classique,Ob,0.04837460460943419
0001,classique_morceau1_trio_CoFlOb_theme1_stereo_Co,trio,classique,Co,-0.014602592040668943
0001,classique_morceau1_trio_CoFlOb_theme1_stereo_Ob,trio,classique,Ob,-0.03696712341786743
0001,classique_morceau1_trio_CoFlOb_theme2_stereo_Fl,trio,classique,Fl,0.057331513584839344
0001,classique_morceau2_duo_BoFh_theme1_stereo_Fh,duo,classique,Fh,-0.07036166023231498
0001,classique_morceau2_duo_BoFh_theme2_stereo_Bo,duo,classique,Bo,0.0017049287742750732
0001,classique_morceau2_duo_BoFl_theme1_stereo_Fl,duo,classique,Fl,0.02113660401982513
0001,classique_morceau2_duo_BoFl_theme2_stereo_Bo,duo,classique,Bo,0.046900653431061756
0001,classique_morceau2_duo_FhFl_theme2_stereo_Fh,duo,classique,Fh,0.037817586200986276
0001,classique_morceau2_duo_FhFl_theme2_stereo_Fl,duo,classique,Fl,-0.009605653879539816
0001,classique_morceau2_trio_BoFhFl_theme1_stereo_Bo,trio,classique,Bo,-0.014389443621466365
0001,classique_morceau2_trio_BoFhFl_theme1_stereo_Fh,trio,classique,Fh,-0.0057101100277736115
0001,classique_morceau2_trio_BoFhFl_theme2_stereo_Fl,trio,classique,Fl,0.012339566224176849
0001,pop_falldead_duo_BsDr_theme1_stereo_Bs,duo,pop,Bs,0.06124343019626908
0001,pop_falldead_duo_BsDr_theme1_stereo_Dr,duo,pop,Dr,0.0016332109281387579
0001,pop_falldead_duo_GtVx_theme1_stereo_Gt,duo,pop,Gt,0.11388916916012952
0001,pop_falldead_duo_GtVx_theme1_stereo_Vx,duo,pop,Vx,0.029851301502002197
0001,pop_falldead_trio_BsDrVx_theme1_stereo_Bs,trio,pop,Bs,0.04343654811507027
0001,pop_falldead_trio_GtDrVx_theme1_stereo_Gt,trio,pop,Gt,0.04606307751571812
0001,pop_falldead_trio_GtDrVx_theme1_stereo_Vx,trio,pop,Vx,0.007495511837552618
0001,pop_mixtape_duo_BsDr_theme1_stereo_Bs,duo,pop,Bs,0.020571145582938575
0001,pop_mixtape_duo_BsDr_theme2_stereo_Dr,duo,pop,Dr,0.0014425115593828964
0001,pop_mixtape_duo_GtVx_theme1_stereo_Gt,duo,pop,Gt,0.049790244221189515
