subject,stim_name,genre,piece,ensemble,theme,spatial,target,instruments,n_instruments,response_shape,soli_shape,stimulus_shape,fs_eeg,fs_audio,target_idx,pred_instr,correct,attended_r,best_nontarget_r,margin_r
0001,classique_morceau1_duo_CoFl_theme1_stereo_Co,classique,morceau1,duo,theme1,stereo,Co,"['Co', 'Fl']",2,"(20, 7172)","(3, 1235312)","(2, 1235312)",256,44100,0,Fl,False,0.01814904094086383,0.03725566044211836,-0.01910661950125453
0001,classique_morceau1_duo_CoFl_theme1_stereo_Fl,classique,morceau1,duo,theme1,stereo,Fl,"['Co', 'Fl']",2,"(20, 7172)","(3, 1235312)","(2, 1235312)",256,44100,1,Co,False,-0.01993177312403838,0.02720729070732021,-0.04713906383135859
0001,classique_morceau1_duo_CoOb_theme1_stereo_Co,classique,morceau1,duo,theme1,stereo,Co,"['Co', 'Ob']",2,"(20, 7172)","(3, 1235312)","(2, 1235312)",256,44100,0,Ob,False,0.02595545089159647,0.02939279815653339,-0.00343734726493692
0001,classique_morceau1_duo_CoOb_theme2_stereo_Ob,classique,morceau1,duo,theme2,stereo,Ob,"['Co', 'Ob']",2,"(20, 6148)","(3, 1058916)","(2, 1058916)",256,44100,1,Co,False,0.008799025302246263,0.029206869472478105,-0.020407844170231844
0001,classique_morceau1_duo_FlOb_theme1_stereo_Fl,classique,morceau1,duo,theme1,stereo,Fl,"['Fl', 'Ob']",2,"(20, 7172)","(3, 1235312)","(2, 1235312)",256,44100,0,Ob,False,-0.01005682913917798,-0.00034386256636719306,-0.009712966572810787
0001,classique_morceau1_duo_FlOb_theme2_stereo_Ob,classique,morceau1,duo,theme2,stereo,Ob,"['Fl', 'Ob']",2,"(20, 6148)","(3, 1058916)","(2, 1058916)",256,44100,1,Ob,True,0.04837460460943419,0.04207659320699602,0.006298011402438172
0001,classique_morceau1_trio_CoFlOb_theme1_stereo_Co,classique,morceau1,trio,theme1,stereo,Co,"['Co', 'Fl', 'Ob']",3,"(20, 7172)","(3, 1235312)","(2, 1235312)",256,44100,0,Co,True,-0.014602592040668943,-0.017256166439509234,0.002653574398840291
0001,classique_morceau1_trio_CoFlOb_theme1_stereo_Ob,classique,morceau1,trio,theme1,stereo,Ob,"['Co', 'Fl', 'Ob']",3,"(20, 7172)","(3, 1235312)","(2, 1235312)",256,44100,2,Co,False,-0.03696712341786743,0.01093390521705151,-0.04790102863491894
0001,classique_morceau1_trio_CoFlOb_theme2_stereo_Fl,classique,morceau1,trio,theme2,stereo,Fl,"['Co', 'Fl', 'Ob']",3,"(20, 6148)","(3, 1058916)","(2, 1058916)",256,44100,1,Fl,True,0.057331513584839344,0.046845610928791685,0.010485902656047659
0001,classique_morceau2_duo_BoFh_theme1_stereo_Fh,classique,morceau2,duo,theme1,stereo,Fh,"['Bo', 'Fh']",2,"(20, 6148)","(3, 1058916)","(2, 1058916)",256,44100,1,Bo,False,-0.07036166023231498,0.028203834391236315,-0.0985654946235513
0001,classique_morceau2_duo_BoFh_theme2_stereo_Bo,classique,morceau2,duo,theme2,stereo,Bo,"['Bo', 'Fh']",2,"(20, 6148)","(3, 1058916)","(2, 1058916)",256,44100,0,Fh,False,0.0017049287742750732,0.027166323227583278,-0.025461394453308205
0001,classique_morceau2_duo_BoFl_theme1_stereo_Fl,classique,morceau2,duo,theme1,stereo,Fl,"['Bo', 'Fl']",2,"(20, 6148)","(3, 1058916)","(2, 1058916)",256,44100,1,Fl,True,0.02113660401982513,-0.013674436457678138,0.03481104047750327
0001,classique_morceau2_duo_BoFl_theme2_stereo_Bo,classique,morceau2,duo,theme2,stereo,Bo,"['Bo', 'Fl']",2,"(20, 6148)","(3, 1058916)","(2, 1058916)",256,44100,0,Bo,True,0.046900653431061756,0.026833698745333135,0.02006695468572862
0001,classique_morceau2_duo_FhFl_theme2_stereo_Fh,classique,morceau2,duo,theme2,stereo,Fh,"['Fh', 'Fl']",2,"(20, 6148)","(3, 1058916)","(2, 1058916)",256,44100,0,Fh,True,0.037817586200986276,-0.002076526629026731,0.039894112830013005
